,len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,Label,URL
15,186.0,2.0,1.0,0.0,70.0,3.0,14.0,2.0,3.0,0.0,10.0,6.5,42.0,22.0,0.0,0.0,0.0,0.0,102.0,3.0,43.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://otropuerto.com/wp-library/office365-2019/cmd-login=a1e17be73f109984b184d86e14e76d2f/?email=joannayang@legalshield.com&amp;loginpage=&amp;reff=YmRhYjQyODA1ZjFmODg1NDhiMjY1MmVkYWI0NTEyZTg=
16,62.0,2.0,1.0,0.0,49.0,4.0,12.0,2.0,4.0,0.0,9.0,5.5,27.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://techbells.in/security/b2020123/1/index2.php?account_1und1_de/=
17,48.0,3.0,0.0,1.0,17.0,4.0,14.0,2.0,4.0,0.0,10.0,6.5,4.0,3.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://nutriti-on.com/js/ttat/sbc/sbc/sbcglobal.net.htm
18,62.0,5.0,0.0,0.0,21.0,3.0,21.0,3.0,3.0,0.0,14.0,6.333333333333333,12.0,5.666666666666667,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://designferreira.com.br/olilo.com.br/payp/v/resolutioncenter.php
19,30.0,1.0,0.0,0.0,10.0,1.0,20.0,2.0,1.0,0.0,16.0,9.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://checkmynewphotos.com/pictures/
20,106.0,2.0,1.0,0.0,62.0,6.0,12.0,2.0,6.0,0.0,9.0,5.5,18.0,9.166666666666666,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://techbells.in/security/b2020123/1/index2.php?httpss:/account_1und1_de/home/particulares_esassistancedesktop
21,100.0,2.0,1.0,0.0,87.0,6.0,12.0,2.0,6.0,0.0,9.0,5.5,32.0,13.333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://techbells.in/security/b2020123/1/index2.php?account_1und1_de/home/particulares_esassistancedesktop/=
22,67.0,2.0,1.0,0.0,54.0,5.0,12.0,2.0,5.0,0.0,9.0,5.5,27.0,9.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://techbells.in/security/b2020123/1/index2.php?account_1und1_de/home/=
23,88.0,1.0,0.0,0.0,70.0,8.0,18.0,2.0,8.0,0.0,14.0,8.5,11.0,7.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://psmkreditsyari.com/wp-content/plugins/js_composer/include/templates/shortcodes/web/home/
24,130.0,2.0,0.0,1.0,45.0,4.0,39.0,3.0,4.0,0.0,24.0,12.333333333333334,28.0,10.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://dekosterexcavatingcom-my.sharepoint.com/:b:/g/personal/sarah_dekosterexcavating_com/ET8SpsXtt7dFv7zyCHGvF9IBGPS9sE4vda3ZJkrWTblD2A
25,85.0,6.0,1.0,1.0,1.0,0.0,57.0,6.0,0.0,0.0,19.0,8.666666666666666,0.0,0.0,0.0,6.0,0.0,0.0,21.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://paypal.com-update.accounts.paypal.thepresidencyschool.com/signin?country.x=ma&amp;amp
26,105.0,6.0,1.0,1.0,10.0,1.0,57.0,6.0,1.0,0.0,19.0,8.666666666666666,8.0,8.0,0.0,17.0,0.0,1.0,21.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://paypal.com-update.accounts.paypal.thepresidencyschool.com/authflow/password-recovery?country.x=cn&amp;amp
27,186.0,2.0,1.0,0.0,70.0,3.0,14.0,2.0,3.0,0.0,10.0,6.5,42.0,22.0,0.0,0.0,0.0,0.0,102.0,3.0,43.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://otropuerto.com/wp-library/office365-2019/cmd-login=f2f29a7f532992289af6a6a98475074f/?email=joannayang@legalshield.com&amp;loginpage=&amp;reff=OGYyYWRlODk0ODI1Mjg3ZTc0MTZhOTM0MjRiZWNjZjQ=
28,186.0,2.0,1.0,0.0,70.0,3.0,14.0,2.0,3.0,0.0,10.0,6.5,42.0,22.0,0.0,0.0,0.0,0.0,102.0,3.0,43.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://otropuerto.com/wp-library/office365-2019/cmd-login=7152cc9e332ccb53dfcafe2230b16749/?email=joannayang@legalshield.com&amp;loginpage=&amp;reff=YjcxNmUwY2YwOGE1MDQ5YTU3MjMwMDM0Y2I3YjY4OTg=
29,72.0,3.0,0.0,0.0,31.0,4.0,13.0,2.0,4.0,0.0,9.0,6.0,10.0,6.5,0.0,0.0,0.0,0.0,28.0,1.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://smamerica.com/wp-content/plugins/ii/alibaba/?email=christoph.auer@bwt.at
30,44.0,1.0,0.0,0.0,31.0,4.0,13.0,2.0,4.0,0.0,9.0,6.0,10.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://smamerica.com/wp-content/plugins/ii/alibaba/
31,79.0,3.0,1.0,0.0,44.0,5.0,25.0,3.0,5.0,0.0,17.0,7.666666666666667,10.0,7.6,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.mymentalhealthday.org/wp-content/themes/private/handling/webmail/login.html
32,20.0,2.0,0.0,0.0,9.0,1.0,11.0,3.0,1.0,0.0,4.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://koof.com.au/marolaw/
33,19.0,2.0,0.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://koof.com.au/marolaw
34,159.0,3.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,6.0,4.5,0.0,0.0,0.0,148.0,2.0,10.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://qanfin.com/Entscheidung-5198206710178222&amp;cgi3-ViewKontakt-5198206710178222-007acctpagetype-5198206710178222=4845969-gesendet&amp;ebay@gasolina-moto.de.html
35,31.0,3.0,0.0,0.0,16.0,3.0,15.0,4.0,3.0,0.0,5.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://www.rocom.co.in/fassets/js/min/
36,30.0,3.0,0.0,0.0,12.0,2.0,15.0,4.0,2.0,0.0,5.0,3.0,7.0,4.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://www.rocom.co.in/fassets/js/min
37,61.0,1.0,0.0,0.0,43.0,6.0,18.0,2.0,6.0,0.0,14.0,8.5,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://gamingdominion.com/remittance/payment/NOTEPURE/uh/No_cap/FBG/
38,60.0,1.0,0.0,0.0,39.0,5.0,18.0,2.0,5.0,0.0,14.0,8.5,10.0,6.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://gamingdominion.com/remittance/payment/NOTEPURE/uh/No_cap/FBG
39,14.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,5.0,3.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://lihi1.cc/JIf9o
40,48.0,2.0,0.0,0.0,16.0,3.0,23.0,2.0,3.0,0.0,19.0,11.0,5.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://koperasilumbungjaya.com/tises/bo/Files/index.php
41,65.0,2.0,0.0,0.0,49.0,5.0,16.0,3.0,5.0,0.0,10.0,4.666666666666667,14.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://teknosmart.co.id/wp-content/plugins/nice-infoboxes/Wemail/Wemail/
42,64.0,2.0,0.0,0.0,42.0,4.0,16.0,3.0,4.0,0.0,10.0,4.666666666666667,14.0,9.25,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://teknosmart.co.id/wp-content/plugins/nice-infoboxes/Wemail/Wemail
43,22.0,3.0,0.0,0.0,1.0,0.0,21.0,4.0,0.0,0.0,8.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://facebook.shobi.com.bd/
44,22.0,3.0,0.0,0.0,1.0,0.0,21.0,4.0,0.0,0.0,8.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://facebook.shobi.com.bd/
45,26.0,4.0,0.0,0.0,1.0,0.0,25.0,5.0,0.0,0.0,8.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://www.facebook.shobi.com.bd/
46,26.0,4.0,0.0,0.0,1.0,0.0,25.0,5.0,0.0,0.0,8.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.facebook.shobi.com.bd/
47,39.0,1.0,0.0,0.0,8.0,1.0,20.0,2.0,1.0,0.0,16.0,9.5,6.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://learnwithportals.com/groups/pugblinders
48,127.0,2.0,1.0,0.0,87.0,6.0,12.0,2.0,6.0,0.0,9.0,5.5,32.0,13.333333333333334,0.0,19.0,0.0,0.0,9.0,1.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://techbells.in/security/b2020123/1/index2.php?account_1und1_de/home/particulares_esassistancedesktop/loadloginassistance?type=pwd
49,85.0,6.0,1.0,1.0,1.0,0.0,57.0,6.0,0.0,0.0,19.0,8.666666666666666,0.0,0.0,0.0,6.0,0.0,0.0,21.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://paypal.com-update.accounts.paypal.thepresidencyschool.com/signin?country.x=ru&amp;amp
50,68.0,2.0,0.0,0.0,31.0,4.0,13.0,2.0,4.0,0.0,9.0,6.0,10.0,6.5,0.0,0.0,0.0,0.0,24.0,1.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://smamerica.com/wp-content/plugins/ii/alibaba/?email=socialwork@tru.ca
51,72.0,3.0,1.0,1.0,12.0,1.0,26.0,4.0,1.0,0.0,9.0,5.75,10.0,10.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,"https://secure.runescape.com-as.ru/m=weblogin/loginform464,863,492,46711141,2167"
52,14.0,1.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://easy3traa.top/
53,12.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,9.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://ingegroup.cl
54,42.0,2.0,1.0,0.0,12.0,2.0,24.0,3.0,2.0,0.0,16.0,7.333333333333333,5.0,4.5,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://www.learnwithportals.com/login/home/?goto=
55,11.0,1.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,7.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://shopica.pk/
56,169.0,3.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,6.0,4.5,0.0,0.0,0.0,158.0,2.0,10.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://qanfin.com/entscheidung-00589866568065279&amp;cgi3-viewkontakt-00589866568065279-007acctpagetype-00589866568065279_247185-gesendet&amp;service_sanitaerdiscounter.de.html
57,79.0,2.0,1.0,0.0,45.0,6.0,25.0,2.0,6.0,0.0,21.0,12.0,11.0,6.333333333333333,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://9dollarsintothousands.com/wp-includes/Text/Diff/Engine/wp-content/ali/login.php
58,177.0,3.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,6.0,4.5,0.0,0.0,0.0,166.0,2.0,10.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://qanfin.com/entscheidung-00589866568065279&amp;amp;cgi3-viewkontakt-00589866568065279-007acctpagetype-00589866568065279_247185-gesendet&amp;amp;service_sanitaerdiscounter.de.html
59,14.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://bit.ly/34mHgDG
60,14.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://bit.ly/2Qgj1yJ
61,19.0,1.0,1.0,1.0,7.0,1.0,12.0,2.0,1.0,0.0,9.0,5.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://pay-today.cc/login/
62,23.0,2.0,0.0,0.0,1.0,0.0,22.0,3.0,0.0,0.0,9.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://roupakids.blogspot.com/
63,23.0,2.0,0.0,0.0,1.0,0.0,22.0,3.0,0.0,0.0,9.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://roupakids.blogspot.com/
64,37.0,5.0,0.0,1.0,1.0,0.0,36.0,6.0,0.0,0.0,9.0,5.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://www.www.servlces.runescape.com-er.ru/
65,26.0,2.0,0.0,0.0,5.0,1.0,17.0,3.0,1.0,0.0,8.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://ve5r.hyperphp.com/ybo/?i=1
66,15.0,1.0,0.0,1.0,1.0,0.0,14.0,2.0,0.0,0.0,10.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://rakuten-ia.com/
67,61.0,2.0,0.0,0.0,1.0,0.0,60.0,3.0,0.0,0.0,42.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://transferenciasinternacionalesseguridadbnet.000webhostapp.com/
68,65.0,4.0,0.0,0.0,30.0,3.0,18.0,2.0,3.0,0.0,14.0,8.5,11.0,8.666666666666666,0.0,13.0,1.0,0.0,4.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://lavienailscorp.com/.well-known/.igfrtuiouz/php2/bootstrap.php?e=0
69,186.0,2.0,1.0,0.0,70.0,3.0,14.0,2.0,3.0,0.0,10.0,6.5,42.0,22.0,0.0,0.0,0.0,0.0,102.0,3.0,43.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://otropuerto.com/wp-library/office365-2019/cmd-login=7832423edbe2440687cf8b4baa60ef81/?email=joannayang@legalshield.com&amp;loginpage=&amp;reff=ZjQxMzVhNjc2N2Y2NDFlYTY2MmU1NWU0MTNiZjBjNTc=
70,225.0,4.0,1.0,0.0,197.0,4.0,22.0,3.0,4.0,0.0,9.0,6.666666666666667,176.0,48.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://translate.sogoucdn.com/pcvtsnapshotorigin?_t=1572026205262%20open_in_new%20add%20link&amp;from=en&amp;noTrans=0&amp;query=paypal%20account&amp;tabMode=2&amp;tfr=englishpc&amp;to=zh-CHS&amp;url=https://www.paypal.com/us/signin
71,176.0,9.0,1.0,0.0,101.0,6.0,64.0,9.0,6.0,0.0,12.0,6.222222222222222,33.0,15.666666666666666,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.amazon.de.signin.verification.openid.05436137.budcabourab.tk/738916/germ/report/uFokJ2VcyAdtG9Shp6DIEHv0Pwi84ZaLR/kunden256222/UaT8zNno4gFledb1P9OkJV5jWZqXtLAKf/logmein.php
72,36.0,2.0,0.0,0.0,10.0,1.0,26.0,3.0,1.0,0.0,17.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://b2bchdistribution.app.link/onedrive/
73,15.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://t.co/2XX7ZSQTqN
74,45.0,3.0,0.0,0.0,31.0,2.0,14.0,2.0,2.0,0.0,11.0,6.5,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://labocentral.ma/language/dashboard.stripe.com/
75,10.0,1.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,7.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://ese-com.ml
76,69.0,3.0,0.0,0.0,31.0,4.0,13.0,2.0,4.0,0.0,9.0,6.0,10.0,6.5,0.0,0.0,0.0,0.0,25.0,1.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://smamerica.com/wp-content/plugins/ii/alibaba/?email=il.service@zim.com
77,47.0,3.0,0.0,1.0,1.0,0.0,41.0,4.0,0.0,0.0,25.0,9.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://t-online.de.rongouniversitychaplaincy.com/btele
78,35.0,2.0,0.0,0.0,1.0,0.0,26.0,3.0,0.0,0.0,17.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://b2bchdistribution.app.link/onedrive
79,237.0,4.0,1.0,0.0,50.0,4.0,22.0,3.0,4.0,0.0,9.0,6.666666666666667,29.0,11.25,0.0,165.0,0.0,20.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://translate.sogoucdn.com/pcvtsnapshotorigin?url=https://www.paypal.com/us/signin&amp;query=paypal%20account&amp;tabMode=2&amp;noTrans=0&amp;tfr=englishpc&amp;from=en&amp;to=zh-CHS&amp;securl=&amp;_t=1572026205262%20open_in_new%20add%20link
80,210.0,2.0,1.0,0.0,17.0,3.0,18.0,2.0,3.0,0.0,14.0,8.5,5.0,4.333333333333333,0.0,9.0,1.0,0.0,166.0,3.0,64.0,1.0,-1.0,-1.0,-1.0,-1.0,1,http://goldcoastships.com/daum/daum/daaum/login.php?cmd=login_submit&amp;id=496853edbb1d8d3dc2f72510445333d8496853edbb1d8d3dc2f72510445333d8&amp;session=496853edbb1d8d3dc2f72510445333d8496853edbb1d8d3dc2f72510445333d8
81,83.0,1.0,1.0,0.0,27.0,2.0,14.0,2.0,2.0,0.0,10.0,6.5,14.0,12.0,0.0,42.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://otropuerto.com/wp-library/office365-2019/cmd-login=134abf4853017cd3dd3f5c48425d7dd6
82,84.0,1.0,1.0,0.0,70.0,3.0,14.0,2.0,3.0,0.0,10.0,6.5,42.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://otropuerto.com/wp-library/office365-2019/cmd-login=134abf4853017cd3dd3f5c48425d7dd6/
83,210.0,2.0,1.0,0.0,17.0,3.0,18.0,2.0,3.0,0.0,14.0,8.5,5.0,4.333333333333333,0.0,9.0,1.0,0.0,166.0,3.0,64.0,1.0,-1.0,-1.0,-1.0,-1.0,1,https://goldcoastships.com/daum/daum/daaum/login.php?cmd=login_submit&amp;id=2cb22e24433403694cb96744311a3e7a2cb22e24433403694cb96744311a3e7a&amp;session=2cb22e24433403694cb96744311a3e7a2cb22e24433403694cb96744311a3e7a
84,109.0,3.0,0.0,0.0,61.0,5.0,28.0,2.0,5.0,0.0,24.0,13.5,14.0,11.0,0.0,13.0,1.0,0.0,7.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://officialnightingalemovie.com/.well-known/LinkedIn/linkedIn/linkedIn%20(1)/linkedIn%20(1)/LinkedIn.html?email=
85,48.0,3.0,0.0,1.0,7.0,1.0,41.0,4.0,1.0,0.0,25.0,9.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://t-online.de.rongouniversitychaplaincy.com/btele/
86,68.0,2.0,0.0,0.0,31.0,4.0,13.0,2.0,4.0,0.0,9.0,6.0,10.0,6.5,0.0,0.0,0.0,0.0,24.0,1.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://smamerica.com/wp-content/plugins/ii/alibaba/?email=drigg@azworld.com
